array_type,size,algorithm,time_microseconds,char_operations
Random,2500,QuickSort,370.87,389499
Random,2500,StringMergeSort,2177.60,22720
Random,2500,StringQuickSort,67.27,44054
Random,2500,MsdRadixSort,331.73,11976
Random,2500,MsdRadixQuickSort,181.39,21803
Reverse sorted,2500,MergeSort,648.15,21109
Reverse sorted,2500,QuickSort,207.19,340963
Reverse sorted,2500,StringMergeSort,2010.72,9087
Reverse sorted,2500,StringQuickSort,39.87,35437
Reverse sorted,2500,MsdRadixSort,347.18,12180
Reverse sorted,2500,MsdRadixQuickSort,160.08,18619
Almost sorted,2500,MergeSort,752.09,33553
Almost sorted,2500,QuickSort,285.28,379549
Almost sorted,2500,StringMergeSort,2016.83,12894
Almost sorted,2500,StringQuickSort,39.84,37078
Almost sorted,2500,MsdRadixSort,313.66,12010
Almost sorted,2500,MsdRadixQuickSort,133.60,18950
Common prefixes,2500,MergeSort,993.88,123904
Common prefixes,2500,QuickSort,416.47,501877
Common prefixes,2500,StringMergeSort,2134.94,32646
Common prefixes,2500,StringQuickSort,80.44,64544
Common prefixes,2500,MsdRadixSort,603.57,36566
Common prefixes,2500,MsdRadixQuickSort,368.50,36882
Random,2600,MergeSort,945.83,37531
Random,2600,QuickSort,368.33,410111
Random,2600,StringMergeSort,2230.37,23731
Random,2600,StringQuickSort,94.05,44748
Random,2600,MsdRadixSort,353.31,12524
Random,2600,MsdRadixQuickSort,161.98,22704
Reverse sorted,2600,MergeSort,618.08,22012
Reverse sorted,2600,QuickSort,228.42,364014
Reverse sorted,2600,StringMergeSort,2108.13,9501
Reverse sorted,2600,StringQuickSort,41.58,37233
Reverse sorted,2600,MsdRadixSort,400.67,12680
Reverse sorted,2600,MsdRadixQuickSort,136.40,19357
Almost sorted,2600,MergeSort,696.50,35393
Almost sorted,2600,QuickSort,350.45,400286
Almost sorted,2600,StringMergeSort,2132.80,13535
Almost sorted,2600,StringQuickSort,48.28,38638
Almost sorted,2600,MsdRadixSort,357.43,12512
Almost sorted,2600,MsdRadixQuickSort,138.11,19833
Common prefixes,2600,MergeSort,994.51,129365
Common prefixes,2600,QuickSort,445.83,532387
Common prefixes,2600,StringMergeSort,2275.74,34051
Common prefixes,2600,StringQuickSort,77.69,64444
Common prefixes,2600,MsdRadixSort,586.34,37982
Common prefixes,2600,MsdRadixQuickSort,384.44,38468
Random,2700,MergeSort,996.83,39280
Random,2700,QuickSort,364.90,419534
Random,2700,StringMergeSort,2377.86,24803
Random,2700,StringQuickSort,77.53,49216
Random,2700,MsdRadixSort,384.27,13064
Random,2700,MsdRadixQuickSort,202.32,23684
Reverse sorted,2700,MergeSort,647.65,22739
Reverse sorted,2700,QuickSort,255.63,391684
Reverse sorted,2700,StringMergeSort,2118.32,9775
Reverse sorted,2700,StringQuickSort,43.40,39080
Reverse sorted,2700,MsdRadixSort,413.29,13146
Reverse sorted,2700,MsdRadixQuickSort,155.00,20090
Almost sorted,2700,MergeSort,787.46,36977
Almost sorted,2700,QuickSort,309.32,412375
Almost sorted,2700,StringMergeSort,2169.90,14079
Almost sorted,2700,StringQuickSort,45.68,40350
Almost sorted,2700,MsdRadixSort,335.36,13006
Almost sorted,2700,MsdRadixQuickSort,162.82,20605
Common prefixes,2700,MergeSort,1109.94,135884
Common prefixes,2700,QuickSort,455.18,559717
Common prefixes,2700,StringMergeSort,2342.12,35571
Common prefixes,2700,StringQuickSort,77.60,72264
Common prefixes,2700,MsdRadixSort,639.79,39496
Common prefixes,2700,MsdRadixQuickSort,416.78,40116
Random,2800,MergeSort,1001.91,41050
Random,2800,QuickSort,439.15,437355
Random,2800,StringMergeSort,2398.77,25912
Random,2800,StringQuickSort,82.26,49945
Random,2800,MsdRadixSort,399.09,13598
Random,2800,MsdRadixQuickSort,209.14,25262
Reverse sorted,2800,MergeSort,723.77,23803
Reverse sorted,2800,QuickSort,247.79,408814
Reverse sorted,2800,StringMergeSort,2283.30,10252
Reverse sorted,2800,StringQuickSort,43.59,40314
Reverse sorted,2800,MsdRadixSort,399.46,13630
Reverse sorted,2800,MsdRadixQuickSort,152.38,20821
Almost sorted,2800,MergeSort,806.92,38271
Almost sorted,2800,QuickSort,320.58,434907
Almost sorted,2800,StringMergeSort,2269.40,14702
Almost sorted,2800,StringQuickSort,51.33,42485
Almost sorted,2800,MsdRadixSort,365.51,13530
Almost sorted,2800,MsdRadixQuickSort,149.49,21427
Common prefixes,2800,MergeSort,1100.30,142113
Common prefixes,2800,QuickSort,453.57,567657
Common prefixes,2800,StringMergeSort,2438.18,37016
Common prefixes,2800,StringQuickSort,81.22,70943
Common prefixes,2800,MsdRadixSort,703.77,41026
Common prefixes,2800,MsdRadixQuickSort,406.99,41765
Random,2900,MergeSort,1074.57,42911
Random,2900,QuickSort,410.72,455354
Random,2900,StringMergeSort,2546.97,26985
Random,2900,StringQuickSort,141.65,58157
Random,2900,MsdRadixSort,386.71,14164
Random,2900,MsdRadixQuickSort,163.99,26164
Reverse sorted,2900,MergeSort,764.32,24747
Reverse sorted,2900,QuickSort,274.24,437079
Reverse sorted,2900,StringMergeSort,2364.53,10660
Reverse sorted,2900,StringQuickSort,47.18,42227
Reverse sorted,2900,MsdRadixSort,417.86,14114
Reverse sorted,2900,MsdRadixQuickSort,188.17,21535
Almost sorted,2900,MergeSort,806.54,39944
Almost sorted,2900,QuickSort,358.89,463493
Almost sorted,2900,StringMergeSort,2341.98,15472
Almost sorted,2900,StringQuickSort,52.88,43044
Almost sorted,2900,MsdRadixSort,382.42,14006
Almost sorted,2900,MsdRadixQuickSort,166.88,22255
Common prefixes,2900,MergeSort,1169.91,148065
Common prefixes,2900,QuickSort,484.60,600851
Common prefixes,2900,StringMergeSort,2538.83,38462
Common prefixes,2900,StringQuickSort,124.28,74048
Common prefixes,2900,MsdRadixSort,666.41,42512
Common prefixes,2900,MsdRadixQuickSort,456.24,43472
Random,3000,MergeSort,1130.81,44563
Random,3000,QuickSort,461.12,480247
Random,3000,StringMergeSort,2626.56,27910
Random,3000,StringQuickSort,87.48,52390
Random,3000,MsdRadixSort,444.34,14708
Random,3000,MsdRadixQuickSort,179.03,27621
Reverse sorted,3000,MergeSort,735.71,25855
Reverse sorted,3000,QuickSort,274.66,459314
Reverse sorted,3000,StringMergeSort,2482.42,11089
Reverse sorted,3000,StringQuickSort,64.50,43906
Reverse sorted,3000,MsdRadixSort,402.98,14610
Reverse sorted,3000,MsdRadixQuickSort,158.85,22316
Almost sorted,3000,MergeSort,827.90,40673
Almost sorted,3000,QuickSort,280.08,426194
Almost sorted,3000,StringMergeSort,2401.17,15920
Almost sorted,3000,StringQuickSort,55.32,44214
Almost sorted,3000,MsdRadixSort,396.34,14506
Almost sorted,3000,MsdRadixQuickSort,176.06,23135
Common prefixes,3000,MergeSort,1226.89,154810
Common prefixes,3000,QuickSort,516.02,616165
Common prefixes,3000,StringMergeSort,2611.96,40031
Common prefixes,3000,StringQuickSort,85.68,78378
Common prefixes,3000,MsdRadixSort,652.56,43996
Common prefixes,3000,MsdRadixQuickSort,520.83,45147
